Date,Open,High,Low,Close,SharesTraded,Tur11er(Rs.Cr)
1997-07-17,1182.85,1185.3,1173,1181.4,57648142,2072.65
1997-07-21,1171.35,1171.35,1153.75,1165,41901596,1409.37
1997-07-22,1169.55,1176.4,1165.15,1173.25,45719564,1440.18
1997-07-23,1184.05,1201.75,1183.9,1200.7,53154782,1654.22
1997-07-24,1204.35,1213.4,1195.2,1199.95,52901766,1698.4
1997-07-25,1194.75,1195.95,1179,1185.05,49251295,1626.92
1997-07-28,1185.25,1187.85,1176.95,1181.65,39623336,1414.97
1997-07-29,1182.6,1190.55,1180.1,1190.3,45249577,1474.1
1997-07-30,1196.65,1205.8,1195.85,1197.9,41304782,1316.96
1997-07-31,1203.95,1224.7,1201.85,1221.5,56419840,2008.92
1997-08-01,1224.4,1233.85,1219.9,1232.4,60689939,2370.42
1997-08-04,1238.75,1254.5,1237.95,1250.4,57183962,2010.44
1997-08-05,1250.5,1275.45,1249.7,1273.15,56500968,2143.83
1997-08-06,1273.65,1297.1,1273.65,1292.95,10624891,380.98
1997-08-07,1292.8,1292.8,1259.05,1269.65,55757881,1926.32
1997-08-08,1269.55,1269.55,1253.2,1256.95,34344706,1191.56
1997-08-11,1256.85,1260,1247.65,1258.35,40338203,1520.16
1997-08-12,1258.5,1272,1243.95,1248.45,50209945,1710.28
1997-08-13,1248.3,1251.4,1240.9,1244.6,28312086,923.13
1997-08-14,1244.4,1245.8,1226.1,1227.9,30421516,983.83
1997-08-18,1228.4,1228.45,1198.75,1201.45,29113926,1127.6
1997-08-19,1201.5,1203.15,1177.1,1180.7,42448496,1459.26
1997-08-20,1179.55,1200.25,1178.65,1198.2,38302952,1329.76
1997-08-21,1198.8,1212.15,1179.3,1181.5,39208830,1316.35
1997-08-22,1181.55,1181.6,1158.45,1160.45,41583203,1432.03
1997-08-25,1160.4,1160.4,1119.65,1144.3,53757798,2065.1
1997-08-26,1144.55,1160.45,1144.05,1151.75,45303487,1521.34
1997-08-27,1152.4,1184.85,1152.4,1168.4,41331188,1498.56
1997-08-28,1168.4,1168.4,1132.25,1134.65,48034376,1745.2
1997-08-29,1134.2,1134.2,1098.9,1105,66419323,2257.77
1997-09-01,1105.45,1115,1097.95,1104.7,48043712,1562.05
1997-09-02,1104.9,1125.85,1102.45,1117.15,53377562,1766.04
1997-09-03,1118.45,1145.4,1118.45,1134.7,54904514,1895.38
1997-09-04,1134.3,1138.8,1123.7,1137.15,42314745,1387.55
1997-09-05,1137.2,1152.3,1137.2,1149.25,49757000,1742.88
1997-09-08,1148.7,1160.85,1136.85,1158.25,36166261,1281.16
1997-09-09,1158.3,1168.35,1154.95,1159.55,45642666,1555.99
1997-09-10,1159,1159,1143.95,1154.55,36392714,1384.76
1997-09-11,1154.6,1163.3,1152.55,1154.3,39294780,1508.12
1997-09-12,1154.2,1154.2,1138.25,1142.85,33305690,1197.29
1997-09-15,1142.75,1143.35,1136.3,1141,26854087,1123.74
1997-09-16,1141.1,1149.25,1137.8,1140.15,40368005,1529.48
1997-09-17,1140.3,1141.75,1132.75,1134.2,6781233,219.9
1997-09-18,1133.6,1133.6,1101.65,1109.35,35459269,1341.38
1997-09-19,1109.6,1115.15,1099.6,1104.3,32873578,1279.32
1997-09-22,1104.25,1104.25,1082.5,1085,33936889,1359.97
1997-09-23,1084.4,1090.95,1079.6,1088.65,34741761,1310.21
1997-09-24,1089.15,1108.15,1089.15,1100.85,29925008,1137.45
1997-09-25,1100.85,1112.4,1098.35,1111.35,41696697,1770.72
1997-09-26,1111.65,1122.25,1111.65,1116.1,34676311,1355.16
1997-09-29,1124.9,1133.4,1122.6,1125.7,40308704,1712.69
1997-09-30,1125.65,1125.65,1112.5,1123.8,38098056,1564.62
1997-10-01,1123.45,1123.45,1102.45,1114.7,33340166,1304.39
1997-10-09,1119.1,1135.95,1118.65,1134.55,40214413,1552.52
1997-10-10,1135.3,1166.05,1133.6,1163.55,71968400,2885.4
1997-10-13,1165.5,1177.5,1153.85,1156.95,67812031,2849.45
1997-10-14,1156.45,1158.8,1131,1137.9,59606397,2323.68
1997-10-15,1138.45,1152.65,1138.45,1150.45,42093265,1466.41
1997-10-16,1150.45,1171.6,1150.45,1168.35,53548263,1818.33
1997-10-17,1168.75,1181.15,1168.7,1177.8,53923349,1929.1
1997-10-20,1177.5,1189.4,1172.05,1188.2,48206566,1934.27
1997-10-21,1188.2,1192,1171.2,1174.95,59463882,2339.65
1997-10-22,1175.55,1184.9,1168.3,1169.85,39487770,1514.09
1997-10-23,1169.4,1171.05,1140.8,1151.65,46664593,1755.38
1997-10-24,1151.45,1151.45,1122.55,1136.65,56984155,2402.62
1997-10-27,1136,1136,1116,1120.8,40482327,1613.7
1997-10-28,1120.6,1120.6,1028.2,1032.6,63947067,2177.41
1997-10-29,1033,1108.5,1033,1107,59052147,2141.69
1997-10-30,1106.9,1106.9,1080.15,1085.25,21162485,786.67
1997-11-03,1085.75,1096.05,1071.2,1084,34125544,1224.04
1997-11-04,1083.8,1097.05,1079.55,1090.2,49371836,2003.4
1997-11-05,1091.2,1096.05,1081.9,1085,37018863,1278.47
1997-11-06,1084.8,1085.2,1068.4,1080.95,35238851,1229.25
1997-11-07,1081.15,1081.45,1072.15,1074.8,28282057,973.19
1997-11-10,1074.5,1074.5,1064.4,1065.9,24162468,752.29
1997-11-11,1065.9,1076.5,1064.3,1073.35,32152016,1060.6
1997-11-12,1073.3,1073.3,1042.35,1045,39837027,1327.66
1997-11-13,1044.55,1044.55,1013.1,1022.4,49144926,1524.3
1997-11-17,1022.3,1028.5,1014.55,1024.95,34317422,1015.62
1997-11-18,1025.3,1025.4,1004.2,1009.8,38592780,1225.57
1997-11-19,1009.55,1009.55,971.2,987.85,47421132,1515.67
1997-11-20,987.7,1004.8,974.2,995.15,55626500,2050.08
1997-11-21,994.85,1014.5,990.4,1005.75,56875131,2187.9
1997-11-24,1005.7,1010.65,979.75,981.25,46397017,1601.8
1997-11-25,981.1,1015.2,974.7,1010.7,63868031,2142.72
1997-11-26,1011.4,1028.9,1011.05,1016.85,44518022,1463.06
1997-11-27,1016.95,1048.95,1011.9,1046.75,54718331,1867.79
1997-11-28,1046.35,1046.35,1014.85,1023.95,55514201,1934.6
1997-12-01,1023.85,1033.9,1008.45,1032.65,36590594,1192.2
1997-12-02,1033.15,1041.25,1024.85,1029.8,43427325,1604
1997-12-03,1030.2,1037.4,1022.05,1030.7,42009915,1858.88
1997-12-04,1030.2,1036.6,1007.8,1011.75,60976410,2035.43
1997-12-05,1011.4,1024.35,1002.45,1006.3,48226689,1450.21
1997-12-08,1006.65,1014.15,1003.2,1008.8,40754070,1521.4
1997-12-09,1008.5,1011.5,979.7,984.05,54349531,1851.93
1997-12-10,983.2,983.2,965.85,971.9,36426478,1174.36
1997-12-11,971.7,978.8,943,973.65,55953731,1938.06
1997-12-12,973.7,979.1,963.85,965.15,47059191,1565.87
1997-12-15,965,980.65,957.2,979.85,37943412,1174.24
1997-12-16,980,1007.75,979.8,1002.35,41403750,1312.92
1997-12-17,1002.25,1017.6,1002.15,1013.15,31336388,1168.59
1997-12-18,1013.5,1023.85,1008.15,1009.7,38608662,1312.53
1997-12-19,1009.3,1029.75,1006.8,1028.4,30811600,1043.48
1997-12-22,1028.45,1053.4,1028.45,1051.4,37170812,1395.97
1997-12-23,1051.45,1066.25,1049.55,1054.8,37092421,1393.9
1997-12-24,1054.8,1055.5,1032.95,1054.15,31656230,1054.68
1997-12-26,1054.15,1066,1054.15,1061.45,37986172,1234.19
1997-12-29,1061.65,1081.5,1060.2,1079,32236917,1006.16
1997-12-30,1078.75,1080.2,1054.55,1058.5,35066756,1201.92
1997-12-31,1058.45,1083.35,1057.75,1079.4,35187121,1315.46
1998-01-01,1078.95,1084.5,1074.15,1081.2,24612770,789.56
1998-01-02,1081,1091.3,1081,1086.2,25926181,769.81
1998-01-05,1086.6,1102.15,1086.6,1091.65,31888604,988.04
1998-01-06,1091.25,1091.25,1074.1,1079.15,33045893,1155.84
1998-01-07,1079.95,1097.3,1071.75,1082.4,41508588,1188.3
1998-01-08,1082.05,1082.05,1054,1057.75,45958757,1407.79
1998-01-09,1057.65,1057.65,1028.7,1033.55,52843179,1749.22
1998-01-12,1033.2,1033.2,992.5,995.8,43259966,1310.42
1998-01-13,995.7,1016.8,995.7,999.1,40447022,1285.88
1998-01-14,999.45,1019.85,990.75,997.55,41525934,1415.62
1998-01-15,997.5,1001.3,975.65,989.65,42791310,1443.65
1998-01-16,990.05,999.8,987.1,997.8,40375653,1210.95
1998-01-19,998.3,1019.75,992.05,1017.25,39086295,1205.33
1998-01-20,1017.25,1029.65,1008.8,1011.45,39470679,1312.49
1998-01-21,1011.6,1017.75,1003.9,1012.4,26656799,901.5
1998-01-22,1012.2,1012.2,990.85,992.35,30488773,937.44
1998-01-23,992.2,992.45,984.55,986.8,27240341,911.37
1998-01-27,986.9,988,959.4,963.3,30138633,858.71
1998-01-28,962.65,969.7,940.1,944.8,40291177,1502
1998-01-29,944.55,944.55,929.05,941.35,26130146,884.65
1998-01-30,941.4,965.3,941.4,963.45,30646177,992.31
1998-02-02,963.45,978.05,962.25,976.6,31334953,1114.82
1998-02-03,977.05,979.55,967.85,975.25,34725860,1169.51
1998-02-04,975.9,988.4,965.45,967.95,40627142,1435.49
1998-02-05,968.15,980.45,968.15,976.1,26136746,1000.07
1998-02-06,976.1,981.2,971.9,977.65,31127558,1271.03
1998-02-09,977.55,980.75,973.1,976.1,23994045,842.35
1998-02-10,976.1,976.1,962,963.7,24267152,843.74
1998-02-11,964.25,971.75,956,958.9,25113008,837.96
1998-02-12,959.05,960.25,949.65,956.65,23246335,826.53
1998-02-13,956.8,978.15,956.8,974.55,27984989,1258.15
1998-02-17,974.65,1002.15,974.65,991.7,30886246,1286.22
1998-02-18,992.15,997.8,984,988.85,29277427,1229.15
1998-02-19,988.95,1001.1,988.95,997.55,28310115,1047.62
1998-02-20,997.1,1006.25,991.85,993.65,24113544,871.74
1998-02-23,994.1,1011.7,994.1,1009.6,21602804,799.99
1998-02-24,1009.5,1017.55,1007.4,1014.1,29755502,1039.2
1998-02-25,1014.1,1037.15,1014.1,1036.05,31610338,1024.68
1998-02-26,1036.3,1048.55,1032.4,1045.8,29641061,1000.43
1998-02-27,1045.85,1064.15,1045.75,1060.75,44476621,1673.18
1998-03-02,1060.9,1100.8,1060.9,1098.2,49449866,1853.73
1998-03-03,1099.25,1101.95,1046.75,1063.5,48973897,2116.29
1998-03-04,1062.7,1094.45,1062.7,1092.35,39831675,1402.76
1998-03-05,1091.95,1098.9,1079.95,1083.35,30725846,1038.68
1998-03-06,1083.3,1086,1073.25,1081.45,29667576,1023.12
1998-03-09,1081.95,1100.4,1081.95,1099.5,46023985,1438.48
1998-03-10,1099.35,1102.85,1082.7,1086.05,43622829,1389.14
1998-03-11,1086.65,1102.6,1074.55,1083,44413657,1548.56
1998-03-12,1083.35,1083.95,1072.4,1077.5,37960039,1441.86
1998-03-16,1077.75,1102.6,1077.75,1090.45,35100491,1111.97
1998-03-17,1090.25,1090.25,1072.7,1083.3,36056865,1272.88
1998-03-18,1083.85,1108.2,1083.85,1103.35,34696088,1134.86
1998-03-19,1103.8,1113.45,1099.8,1105.8,35312195,1268.77
1998-03-20,1105.5,1112.4,1097.75,1109.6,36374278,1049.24
1998-03-23,1110.1,1124.8,1110.1,1124.1,9184339,364.59
1998-03-24,1124.25,1137.8,1117.35,1120.85,45069481,1380.2
1998-03-25,1121.45,1149.35,1121.45,1146.95,41321430,1170.69
1998-03-26,1147.65,1156.7,1127.3,1129.5,40291506,1255.98
1998-03-27,1129.5,1142.1,1121.2,1140.35,35105522,1085.74
1998-03-30,1140.6,1146.65,1122.95,1124.85,33082417,1062.28
1998-03-31,1124.75,1127.5,1111.85,1116.9,42702085,1385.09
1998-04-01,1117.15,1151,1117.15,1150.1,37872513,1537.37
1998-04-02,1150.4,1169.55,1150.4,1157.4,42312753,1640.71
1998-04-03,1157.9,1174.55,1157.3,1173.45,42063686,1634.67
1998-04-06,1173.55,1191.55,1173.55,1187.1,43162955,1441.74
1998-04-07,1187.35,1199.55,1184,1187.8,49887166,1697.2
1998-04-09,1189.4,1224.25,1189.4,1209.6,56380041,1849.4
1998-04-10,1209.75,1209.9,1189.45,1192.4,40176435,1330.31
1998-04-13,1191.65,1191.65,1156.85,1159.45,44464137,1409.81
1998-04-15,1159.55,1210.6,1159.55,1206.3,41792672,1195.13
1998-04-16,1206.35,1215.05,1194.5,1197.05,33007047,1018.09
1998-04-17,1197.05,1211.8,1189.75,1210,36499816,1237.6
1998-04-20,1210.05,1222.55,1202.2,1207.15,32873552,1071.24
1998-04-21,1207.2,1218.95,1207.2,1212.75,35666930,1265.19
1998-04-22,1212.95,1247.15,1208,1210.8,42633006,1302.56
1998-04-23,1210.25,1211.3,1179.75,1182.1,33216627,963.3
1998-04-24,1182.15,1183.75,1144.85,1173.8,39934567,1222.79
1998-04-27,1173.85,1180.2,1161.2,1164.35,32955550,814.17
1998-04-28,1164.1,1164.3,1144.55,1146.8,37419354,1076.53
1998-04-29,1151.3,1178.05,1147,1151.1,32232034,906.66
1998-04-30,1151.4,1161,1137.8,1159.35,27870055,958.43
1998-05-04,1159.8,1185.75,1159.8,1185.15,27338172,1043.98
1998-05-05,1185.2,1191.25,1177.3,1188.1,27777352,943.31
1998-05-06,1188,1196.7,1169.15,1172.45,28952167,963.06
1998-05-08,1172.1,1172.2,1157.3,1161.55,26988137,882.25
1998-05-11,1162.2,1162.95,1156.45,1160.3,18256046,600.7
1998-05-12,1160.15,1160.15,1100.1,1132.25,41825740,1397.05
1998-05-13,1132.1,1132.1,1091.25,1094.1,37018863,1136.14
1998-05-14,1094.05,1121.75,1081.6,1118.65,45348934,1578.03
1998-05-15,1119.15,1130.4,1104.2,1110.1,35340289,1303.54
1998-05-18,1110.65,1130,1110.65,1119.8,23778153,786
1998-05-19,1119.8,1125.15,1116.2,1121.75,27339517,958.27
1998-05-20,1121.7,1142.95,1121.7,1141.3,28287639,967.4
1998-05-21,1141.65,1146.35,1120.35,1126.15,29495177,1032.59
1998-05-22,1126.1,1131.25,1118.5,1126.55,25801188,1064.37
1998-05-25,1125.9,1127,1111.2,1122.95,19983566,685.15
1998-05-26,1123.15,1123.15,1101.55,1104.45,25222790,862.84
1998-05-27,1104.05,1107.2,1089,1090.95,32874405,1301.51
1998-05-28,1090.5,1097,1073.3,1075.55,35192351,1141.68
1998-05-29,1075.35,1077.15,1037.95,1063.15,48698066,1418.23
1998-06-01,1064.1,1100,1049.4,1053.75,52124177,1390.99
1998-06-02,1053.4,1053.65,1016.25,1019.6,54407354,1436.96
1998-06-03,1019.35,1037.3,1009.95,1033.9,46089930,1186.38
1998-06-04,1034.1,1044.4,1023.35,1027,32703700,875.5
1998-06-05,1026.6,1026.6,989.2,993.5,41661550,1122.6
1998-06-08,993.5,1003.15,936.55,968.6,45557208,1359.97
1998-06-09,968.9,1002.45,964.7,995.05,36850576,944.9
1998-06-10,994.55,998.65,959.6,962.9,32958871,942.93
1998-06-11,962.15,964.65,929.95,961.35,31748546,916.89
1998-06-12,961.6,987.3,961.6,971.15,27887341,796.89
1998-06-15,970.95,970.95,914.3,916.8,25510193,737.13
1998-06-16,916.25,916.25,862.15,910.1,38570358,933.46
1998-06-17,910.9,980.3,910.9,976.5,30367050,710.69
1998-06-18,977,990.15,952.65,956.15,27619219,719.42
1998-06-19,955.05,955.05,910.55,913.25,26778960,676.65
1998-06-22,912.9,912.9,853.3,880.2,25708254,697.27
1998-06-23,882.2,882.2,853.05,875.6,31597305,748.19
1998-06-24,875.45,910.05,873.6,908.5,25450669,583.74
1998-06-25,908.65,939.15,908.65,932.15,27318073,664.41
1998-06-26,931.8,932.5,914.45,924.35,22787822,535.71
1998-06-29,923.2,951.2,916.65,949.1,26261414,585.7
1998-06-30,949.45,952.75,933,941.65,28720117,685.64
1998-07-01,941.6,945.55,916.5,942.25,19339296,612.7
1998-07-02,941.65,941.65,918.1,919.9,15835243,510.06
1998-07-03,920.05,920.05,898.65,900.55,17725309,528.55
1998-07-06,901,919.5,900.9,917.35,17274906,557.33
1998-07-07,917.45,936,917.45,924.7,29371223,811.11
1998-07-08,925.15,948.3,924.95,944.15,25043934,790.73
1998-07-09,944.1,966.1,944.1,961.05,26540469,878.95
1998-07-10,961.65,982.2,961.65,980.15,34687855,920.27
1998-07-13,980.3,991.7,959.4,964.35,31761594,936.48
1998-07-14,964.1,970.3,954.5,967.35,23627084,678.58
1998-07-15,968.05,988.55,968.05,971.4,24903124,760.3
1998-07-16,972,1005.9,969.55,1004.05,28151491,1077.81
1998-07-17,1005.1,1015.55,996.6,1000.95,32611620,1084.24
1998-07-20,1001.9,1002.4,973.75,977.3,20884098,666.38
1998-07-21,977.65,983.4,960.85,965.5,26913359,834.42
1998-07-22,965.55,976.5,959.5,965.7,21578599,618.43
1998-07-23,965.35,965.35,931.75,934.4,26412525,760.54
1998-07-24,933.5,934.75,915.5,920.1,27508678,709.01
1998-07-27,919.4,929.45,895.85,899.35,24341340,665.11
1998-07-28,899.1,920,897.65,917.25,28308776,761.09
1998-07-29,917.4,940.15,917.4,937.85,27974665,784.71
1998-07-30,938.15,949.85,926.8,932.6,23814545,798.04
1998-07-31,932.6,939.6,925.25,931.4,24747027,867.53
1998-08-03,930.8,930.8,903.5,906,18363646,598.6
1998-08-04,905.65,913.45,903.15,906.2,19658165,602.15
1998-08-05,905.65,911.8,890.95,907.45,22290227,586.79
1998-08-06,907.9,919,900.2,902.75,27176069,807.03
1998-08-07,902.75,903.55,892.9,895.55,22250680,608.74
1998-08-10,895.15,895.15,877.55,878.75,19259587,510.61
1998-08-11,878.7,878.7,863.65,866.5,23646773,532.43
1998-08-12,866.35,871.4,853.1,860.1,23442339,609.36
1998-08-13,859.8,878.4,854.5,872.25,23529670,644.89
1998-08-14,872.85,876.8,863.55,864.1,17898322,434.83
1998-08-17,864.35,873.2,853.05,854.55,19019039,534.62
1998-08-18,854.55,854.8,831.1,832.45,26628099,613.35
1998-08-19,832.85,853.9,830.15,838.3,36170597,737.06
1998-08-20,839.3,871.15,839.3,868.7,34008642,794.22
1998-08-21,868.55,871.15,853.4,855.45,37413997,802.82
1998-08-24,855.2,860.95,845.35,859.8,21959553,565.86
1998-08-25,859.85,874.15,859.85,871.9,27813540,670.58
1998-08-27,872.15,889.7,872.15,877.45,32067132,901.05
1998-08-28,877.15,877.15,847.15,849.8,31493024,841.69
1998-08-31,850.3,858.6,841.1,852.8,19779089,543.6
