Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns,,,,
1912.02,9.04,0.47,0.61,9.23,1912.12,4.05,318.02,16.59,2 470.64,21.40,166.25,13.53,,17.02,,4.91%,1.00,7.19,-1.71%,-1.81%,0.10%,,,,
1912.03,9.30,0.47,0.62,9.42,1912.21,4.08,320.56,16.29,2 500.88,21.28,166.05,13.64,,17.17,,5.03%,1.00,7.05,-1.30%,-1.46%,0.16%,,,,
1912.04,9.59,0.47,0.63,9.70,1912.29,4.12,320.83,15.83,2 513.32,20.97,164.24,13.65,,17.20,,5.16%,1.00,6.85,-0.72%,-1.14%,0.42%,,,,
1912.05,9.58,0.47,0.64,9.70,1912.37,4.16,320.50,15.86,2 521.05,21.27,167.32,13.65,,17.20,,5.01%,1.00,6.85,-0.32%,-1.11%,0.79%,,,,
1912.06,9.58,0.48,0.65,9.61,1912.46,4.19,323.67,16.05,2 556.54,21.79,172.13,13.79,,17.38,,4.68%,1.00,6.92,-0.51%,-1.19%,0.68%,,,,
1912.07,9.59,0.48,0.65,9.61,1912.54,4.23,324.01,16.08,2 569.79,22.10,175.30,13.80,,17.41,,4.64%,1.00,6.92,-0.50%,-1.22%,0.72%,,,,
1912.08,9.81,0.48,0.66,9.70,1912.62,4.27,328.19,15.95,2 613.51,22.19,176.71,13.98,,17.65,,4.72%,1.00,6.86,-0.13%,-0.98%,0.84%,,,,
1912.09,9.86,0.48,0.67,9.80,1912.71,4.30,326.66,15.82,2 611.82,22.28,178.14,13.93,,17.58,,4.70%,1.00,6.80,0.18%,-0.85%,1.03%,,,,
1912.1,9.84,0.48,0.68,9.80,1912.79,4.34,326.00,15.85,2 617.08,22.58,181.31,13.91,,17.56,,3.99%,1.00,6.80,0.36%,-0.89%,1.25%,,,,
1912.11,9.73,0.48,0.69,9.80,1912.87,4.38,322.35,15.88,2 598.44,22.89,184.48,13.75,,17.37,,4.37%,1.00,6.81,-0.09%,-0.92%,0.83%,,,,
1912.12,9.38,0.48,0.70,9.70,1912.96,4.41,313.80,16.06,2 540.32,23.42,189.58,13.39,,16.92,,4.31%,1.00,6.88,0.10%,-1.05%,1.15%,,,,
1913.01,9.30,0.48,0.69,9.80,1913.04,4.45,308.11,15.90,2 504.93,23.00,186.98,13.15,,16.62,,4.40%,1.01,6.82,0.49%,-0.87%,1.36%,,,,
1913.02,8.97,0.48,0.69,9.80,1913.12,4.43,297.17,15.90,2 426.82,22.80,186.22,12.68,,16.04,,4.71%,1.01,6.85,1.27%,-0.87%,2.15%,,,,
1913.03,8.80,0.48,0.68,9.80,1913.21,4.40,291.54,15.90,2 391.64,22.61,185.49,12.44,,15.75,,5.22%,1.01,6.89,1.63%,-0.87%,2.50%,,,,
1913.04,8.79,0.48,0.68,9.80,1913.29,4.38,291.21,15.90,2 399.80,22.42,184.75,12.43,,15.74,,5.25%,1.01,6.93,1.22%,-0.93%,2.15%,,,,
1913.05,8.55,0.48,0.67,9.70,1913.37,4.35,286.18,16.07,2 369.37,22.45,185.89,12.22,,15.49,,5.54%,1.01,7.04,0.91%,-1.03%,1.94%,,,,
1913.06,8.12,0.48,0.67,9.80,1913.46,4.33,269.01,15.90,2 238.22,22.03,183.30,11.49,,14.58,,6.19%,1.01,7.01,1.09%,-0.99%,2.08%,,,,
1913.07,8.23,0.48,0.66,9.90,1913.54,4.31,269.90,15.74,2 256.54,21.62,180.74,11.53,,14.65,,6.29%,1.01,6.98,0.60%,-1.00%,1.60%,,,,
1913.08,8.45,0.48,0.65,9.90,1913.62,4.28,277.12,15.74,2 327.83,21.43,179.97,11.85,,15.06,,6.08%,1.01,7.02,0.45%,-0.95%,1.39%,,,,
1913.09,8.53,0.48,0.65,10.00,1913.71,4.26,276.95,15.58,2 337.28,21.02,177.42,11.84,,15.07,,6.10%,1.01,6.98,0.46%,-0.90%,1.37%,,,,
1913.1,8.26,0.48,0.64,10.00,1913.79,4.23,268.18,15.58,2 274.26,20.83,176.68,11.47,,14.61,,6.51%,1.01,7.02,0.59%,-0.96%,1.55%,,,,
1913.11,8.05,0.48,0.64,10.10,1913.87,4.21,258.77,15.43,2 205.40,20.44,174.19,11.07,,14.12,,7.07%,1.01,6.99,1.25%,-0.86%,2.11%,,,,
1913.12,8.04,0.48,0.63,10.00,1913.96,4.18,261.04,15.58,2 235.75,20.45,175.19,11.17,,14.27,,6.91%,1.01,7.10,1.50%,-0.96%,2.46%,,,,
1914.01,8.37,0.48,0.62,10.00,1914.04,4.16,271.75,15.42,2 338.52,20.16,173.45,11.64,,14.88,,6.34%,1.00,7.14,1.42%,-0.96%,2.38%,,,,
1914.02,8.48,0.47,0.61,9.90,1914.12,4.17,278.10,15.41,2 404.24,20.06,173.43,11.91,,15.24,,5.80%,1.00,7.23,1.29%,-0.99%,2.28%,,,,
1914.03,8.32,0.47,0.60,9.90,1914.21,4.17,272.86,15.25,2 369.87,19.76,171.62,11.69,,14.97,,6.07%,1.00,7.25,1.35%,-0.91%,2.27%,,,,
1914.04,8.12,0.46,0.59,9.80,1914.29,4.18,269.01,15.24,2 347.53,19.66,171.53,11.52,,14.78,,6.20%,1.00,7.35,1.33%,-0.94%,2.26%,,,,
1914.05,8.17,0.46,0.58,9.90,1914.37,4.19,267.94,14.92,2 348.98,19.16,167.96,11.48,,14.74,,6.57%,1.00,7.30,1.34%,-0.82%,2.16%,,,,
1914.06,8.13,0.45,0.58,9.90,1914.46,4.19,266.62,14.76,2 348.26,18.86,166.08,11.43,,14.69,,6.60%,1.00,7.32,1.58%,-0.80%,2.39%,,,,
1914.07,7.68,0.45,0.57,10.00,1914.54,4.20,249.35,14.45,2 206.70,18.37,162.57,10.69,,13.77,,7.30%,1.00,7.26,2.67%,-0.74%,3.42%,,,,
1914.08,7.68,0.44,0.56,10.20,1914.62,4.21,244.46,14.01,2 173.76,17.72,157.57,10.49,,13.53,,7.55%,1.00,7.14,3.29%,-0.47%,3.76%,,,,
1914.09,7.68,0.44,0.55,10.20,1914.71,4.21,244.46,13.85,2 184.02,17.43,155.70,10.50,,13.56,,7.42%,1.00,7.16,3.13%,-0.51%,3.64%,,,,
1914.1,7.68,0.43,0.54,10.10,1914.79,4.22,246.88,13.82,2 215.94,17.30,155.32,10.61,,13.72,,7.21%,1.00,7.26,2.84%,-0.65%,3.49%,,,,
1914.11,7.68,0.43,0.53,10.20,1914.87,4.23,244.46,13.53,2 204.33,16.84,151.89,10.52,,13.62,,7.16%,1.00,7.21,3.50%,-0.54%,4.04%,,,,
1914.12,7.35,0.42,0.52,10.10,1914.96,4.23,236.27,13.50,2 140.65,16.72,151.45,10.17,,13.19,,7.38%,1.00,7.30,4.34%,-0.68%,5.01%,,,,
1915.01,7.48,0.42,0.55,10.10,1915.04,4.24,240.45,13.53,2 188.72,17.68,160.94,10.36,,13.46,,7.19%,1.00,7.32,4.57%,-0.66%,5.23%,,,,
1915.02,7.38,0.42,0.58,10.00,1915.12,4.22,239.61,13.69,2 191.44,18.83,172.23,10.33,,13.44,,7.13%,1.00,7.43,4.75%,-0.71%,5.46%,,,,
1915.03,7.57,0.42,0.61,9.90,1915.21,4.21,248.26,13.86,2 281.13,20.01,183.82,10.71,,13.94,,6.82%,1.00,7.54,4.04%,-0.87%,4.91%,,,,
1915.04,8.14,0.42,0.64,10.00,1915.29,4.19,264.28,13.74,2 438.88,20.78,191.76,11.40,,14.86,,6.37%,1.00,7.50,3.35%,-0.71%,4.06%,,,,
1915.05,7.95,0.42,0.67,10.10,1915.37,4.18,255.56,13.64,2 368.86,21.54,199.64,11.03,,14.38,,6.90%,1.00,7.46,3.96%,-0.67%,4.64%,,,,
1915.06,8.04,0.43,0.70,10.10,1915.46,4.16,258.45,13.66,2 406.23,22.50,209.50,11.15,,14.55,,6.81%,1.00,7.50,3.91%,-0.79%,4.70%,,,,
1915.07,8.01,0.43,0.73,10.10,1915.54,4.15,257.49,13.69,2 407.87,23.47,219.44,11.11,,14.50,,6.86%,1.00,7.54,4.12%,-0.91%,5.03%,,,,
1915.08,8.35,0.43,0.76,10.10,1915.62,4.13,268.42,13.72,2 520.77,24.43,229.44,11.58,,15.11,,6.40%,1.00,7.57,3.83%,-0.91%,4.74%,,,,
1915.09,8.66,0.43,0.79,10.10,1915.71,4.11,278.38,13.74,2 625.11,25.40,239.47,12.01,,15.66,,6.22%,1.00,7.61,3.69%,-0.92%,4.60%,,,,
1915.1,9.14,0.43,0.82,10.20,1915.79,4.10,290.93,13.63,2 754.16,26.10,247.09,12.55,,16.35,,5.98%,1.00,7.57,3.57%,-0.82%,4.39%,,,,
1915.11,9.46,0.43,0.85,10.30,1915.87,4.08,298.19,13.53,2 833.58,26.79,254.60,12.86,,16.74,,5.79%,1.00,7.53,3.46%,-0.90%,4.35%,,,,
1915.12,9.48,0.43,0.88,10.30,1915.96,4.07,298.82,13.55,2 850.31,27.74,264.59,12.88,,16.75,,5.68%,1.00,7.56,3.66%,-0.84%,4.51%,,,,
1916.01,9.33,0.44,0.93,10.40,1916.04,4.05,291.27,13.76,2 789.17,29.16,279.28,12.54,,16.30,,6.00%,1.00,7.53,4.09%,-0.75%,4.84%,,,,
1916.02,9.20,0.45,0.99,10.40,1916.12,4.07,287.21,14.10,2 761.56,30.85,296.66,12.35,,16.03,,6.11%,1.00,7.54,4.25%,-0.72%,4.97%,,,,
1916.03,9.17,0.46,1.04,10.50,1916.21,4.08,283.55,14.30,2 737.80,32.22,311.10,12.18,,15.79,,6.31%,1.00,7.49,3.71%,-0.54%,4.25%,,,,
1916.04,9.07,0.47,1.10,10.60,1916.29,4.10,277.81,14.50,2 694.06,33.60,325.84,11.91,,15.42,,6.57%,1.00,7.43,3.58%,-0.47%,4.04%,,,,
1916.05,9.27,0.48,1.15,10.70,1916.37,4.11,281.28,14.69,2 739.61,34.92,340.16,12.03,,15.55,,6.46%,1.00,7.38,3.58%,-0.28%,3.86%,,,,
1916.06,9.36,0.50,1.21,10.80,1916.46,4.13,281.38,14.88,2 752.67,36.22,354.38,12.00,,15.49,,6.56%,1.00,7.33,4.12%,-0.10%,4.22%,,,,
1916.07,9.23,0.51,1.26,10.80,1916.54,4.14,277.47,15.21,2 726.84,37.85,371.95,11.79,,15.21,,7.04%,1.00,7.34,4.81%,0.04%,4.77%,,,,
1916.08,9.30,0.52,1.31,10.90,1916.62,4.16,277.01,15.39,2 734.91,39.11,386.12,11.73,,15.11,,6.93%,1.00,7.29,5.29%,0.22%,5.07%,,,,
1916.09,9.68,0.53,1.37,11.10,1916.71,4.17,283.14,15.43,2 808.07,40.01,396.84,11.94,,15.36,,6.83%,1.00,7.18,5.16%,0.38%,4.78%,,,,
1916.1,9.98,0.54,1.42,11.30,1916.79,4.19,286.75,15.47,2 856.63,40.86,407.03,12.05,,15.46,,6.70%,1.00,7.07,4.72%,0.53%,4.20%,,,,
1916.11,10.21,0.55,1.48,11.50,1916.87,4.20,288.25,15.51,2 884.52,41.67,417.00,12.05,,15.44,,6.75%,1.00,6.96,4.74%,0.68%,4.07%,,,,
1916.12,9.80,0.56,1.53,11.60,1916.96,4.22,274.29,15.67,2 757.89,42.82,430.57,11.41,,14.60,,7.18%,1.00,6.91,5.50%,0.79%,4.70%,,,,
1917.01,9.57,0.57,1.51,11.70,1917.04,4.23,265.57,15.84,2 683.41,41.87,423.12,10.99,,14.04,,7.70%,1.00,6.87,5.88%,1.02%,4.86%,,,,
1917.02,9.03,0.58,1.49,12.00,1917.12,4.26,244.32,15.74,2 481.95,40.26,408.99,10.06,,12.84,,8.55%,1.00,6.71,7.02%,1.35%,5.67%,,,,
1917.03,9.31,0.59,1.47,12.00,1917.21,4.29,251.89,16.03,2 572.48,39.72,405.63,10.33,,13.17,,8.38%,1.00,6.72,6.91%,1.43%,5.48%,,,,
1917.04,9.17,0.60,1.45,12.60,1917.29,4.32,236.29,15.55,2 426.37,37.29,382.87,9.64,,12.29,,9.54%,1.00,6.40,7.84%,1.94%,5.90%,,,,
1917.05,8.86,0.61,1.43,12.80,1917.37,4.34,224.73,15.58,2 321.05,36.17,373.57,9.14,,11.65,,10.03%,1.00,6.31,8.67%,2.06%,6.61%,,,,
1917.06,9.04,0.63,1.41,13.00,1917.46,4.37,225.77,15.61,2 345.20,35.09,364.49,9.15,,11.67,,10.04%,1.00,6.22,8.62%,2.12%,6.50%,,,,
1917.07,8.79,0.64,1.38,12.80,1917.54,4.40,222.96,16.13,2 329.93,35.11,366.85,9.00,,11.49,,10.03%,1.00,6.33,9.16%,2.15%,7.01%,,,,
1917.08,8.53,0.65,1.36,13.00,1917.62,4.43,213.03,16.15,2 240.30,34.04,357.97,8.57,,10.95,,10.72%,1.00,6.24,10.26%,2.38%,7.88%,,,,
1917.09,8.12,0.66,1.34,13.30,1917.71,4.46,198.22,16.05,2 098.58,32.78,347.09,7.95,,10.17,,11.84%,1.00,6.11,11.58%,2.57%,9.01%,,,,
1917.1,7.68,0.67,1.32,13.50,1917.79,4.49,184.70,16.07,1 969.64,31.79,339.04,7.39,,9.47,,12.82%,1.00,6.03,12.09%,2.68%,9.42%,,,,
1917.11,7.04,0.68,1.30,13.50,1917.87,4.51,169.31,16.33,1 820.02,31.29,336.34,6.75,,8.69,,14.50%,1.00,6.04,13.34%,2.75%,10.59%,,,,
1917.12,6.80,0.69,1.28,13.70,1917.96,4.54,161.15,16.35,1 746.95,30.33,328.84,6.41,,8.28,,15.63%,1.00,5.96,14.12%,2.92%,11.20%,,,,
1918.01,7.21,0.68,1.26,14.00,1918.04,4.57,167.21,15.77,1 826.84,29.13,318.24,6.64,,8.60,,15.41%,1.00,5.84,13.69%,3.15%,10.54%,,,,
1918.02,7.43,0.67,1.23,14.10,1918.12,4.56,171.09,15.43,1 883.28,28.37,312.27,6.78,,8.81,,15.29%,1.00,5.82,13.39%,3.31%,10.07%,,,,
1918.03,7.28,0.66,1.21,14.00,1918.21,4.56,168.83,15.31,1 872.48,28.01,310.71,6.69,,8.70,,15.44%,1.00,5.89,14.09%,3.20%,10.88%,,,,
1918.04,7.21,0.65,1.18,14.20,1918.29,4.55,164.85,14.86,1 842.09,27.05,302.25,6.52,,8.51,,15.85%,1.00,5.83,15.01%,3.31%,11.70%,,,,
1918.05,7.44,0.64,1.16,14.50,1918.37,4.55,166.59,14.33,1 874.87,25.95,292.07,6.58,,8.61,,15.94%,1.00,5.73,15.13%,3.44%,11.70%,,,,
1918.06,7.45,0.63,1.14,14.70,1918.46,4.54,164.54,13.91,1 864.90,25.07,284.12,6.50,,8.52,,16.29%,1.00,5.68,14.72%,3.60%,11.12%,,,,
1918.07,7.51,0.62,1.11,15.10,1918.54,4.54,161.48,13.33,1 842.71,23.89,272.60,6.37,,8.38,,16.76%,1.00,5.55,14.99%,3.85%,11.14%,,,,
1918.08,7.58,0.61,1.09,15.40,1918.62,4.53,159.81,12.86,1 835.88,22.92,263.27,6.30,,8.31,,17.15%,1.00,5.47,15.44%,4.02%,11.42%,,,,
1918.09,7.54,0.60,1.06,15.70,1918.71,4.52,155.93,12.41,1 803.18,21.98,254.21,6.15,,8.12,,17.76%,1.00,5.39,16.33%,4.07%,12.27%,,,,
1918.1,7.86,0.59,1.04,16.00,1918.79,4.52,159.50,11.97,1 856.00,21.06,245.10,6.29,,8.33,,17.48%,1.00,5.31,16.34%,4.29%,12.05%,,,,
1918.11,8.06,0.58,1.01,16.30,1918.87,4.51,160.54,11.55,1 879.40,20.20,236.44,6.33,,8.40,,17.46%,1.00,5.23,16.99%,4.45%,12.54%,,,,
1918.12,7.90,0.57,0.99,16.50,1918.96,4.51,155.45,11.22,1 830.70,19.48,229.42,6.13,,8.15,,18.00%,1.00,5.19,17.45%,4.61%,12.84%,,,,
1919.01,7.85,0.57,0.99,16.50,1919.04,4.50,154.47,11.15,1 830.06,19.38,229.63,6.10,,8.12,,18.21%,1.00,5.21,18.33%,4.58%,13.75%,,,,
1919.02,7.88,0.56,0.98,16.20,1919.12,4.54,157.93,11.29,1 882.22,19.64,234.08,6.24,,8.33,,17.50%,1.00,5.31,18.09%,4.43%,13.66%,,,,
1919.03,8.12,0.56,0.98,16.40,1919.21,4.58,160.75,11.09,1 926.90,19.30,231.37,6.36,,8.50,,17.29%,1.00,5.25,18.12%,4.67%,13.45%,,,,
1919.04,8.39,0.56,0.97,16.70,1919.29,4.62,163.11,10.82,1 966.02,18.86,227.30,6.46,,8.65,,16.98%,1.00,5.16,17.92%,4.96%,12.95%,,,,
1919.05,8.97,0.55,0.97,16.90,1919.37,4.66,172.33,10.63,2 087.73,18.54,224.60,6.83,,9.16,,16.11%,1.00,5.10,17.35%,5.07%,12.28%,,,,
1919.06,9.21,0.55,0.96,16.90,1919.46,4.70,176.94,10.57,2 154.26,18.44,224.55,7.02,,9.43,,15.57%,1.00,5.11,17.17%,5.06%,12.11%,,,,
1919.07,9.51,0.55,0.96,17.40,1919.54,4.74,177.45,10.20,2 170.86,17.82,218.00,7.05,,9.48,,15.77%,1.00,4.96,17.98%,5.29%,12.69%,,,,
1919.08,8.87,0.54,0.95,17.70,1919.62,4.77,162.70,9.97,2 000.61,17.43,214.27,6.48,,8.71,,17.06%,1.00,4.88,19.64%,5.51%,14.13%,,,,
1919.09,9.01,0.54,0.95,17.80,1919.71,4.81,164.34,9.85,2 030.86,17.24,213.00,6.56,,8.83,,16.79%,1.00,4.86,19.96%,5.61%,14.34%,,,,
1919.1,9.47,0.54,0.94,18.10,1919.79,4.85,169.87,9.63,2 109.08,16.86,209.35,6.79,,9.15,,16.19%,1.00,4.79,18.21%,5.83%,12.38%,,,,
1919.11,9.19,0.53,0.94,18.50,1919.87,4.89,161.28,9.36,2 012.15,16.41,204.72,6.47,,8.72,,17.03%,1.00,4.69,15.21%,6.11%,9.11%,,,,
1919.12,8.92,0.53,0.93,18.90,1919.96,4.93,153.23,9.10,1 921.17,15.98,200.30,6.16,,8.32,,17.88%,1.00,4.59,16.31%,6.44%,9.88%,,,,
1920.01,8.83,0.53,0.92,19.30,1920.04,4.97,148.54,8.89,1 871.65,15.46,194.84,5.99,,8.09,,18.63%,1.00,4.50,16.90%,6.76%,10.13%,,,,
1920.02,8.10,0.53,0.91,19.50,1920.12,4.98,134.86,8.77,1 708.52,15.12,191.59,5.46,,7.38,,20.37%,1.00,4.47,18.80%,6.93%,11.87%,,,,
1920.03,8.67,0.53,0.90,19.70,1920.21,4.99,142.89,8.65,1 819.31,14.79,188.33,5.80,,7.86,,19.18%,1.00,4.44,18.60%,7.09%,11.51%,,,,
1920.04,8.60,0.52,0.89,20.30,1920.29,5.00,137.55,8.37,1 760.17,14.18,181.48,5.60,,7.60,,20.00%,1.00,4.32,19.70%,7.34%,12.36%,,,,
1920.05,8.06,0.52,0.88,20.60,1920.37,5.01,127.03,8.22,1 634.39,13.80,177.59,5.19,,7.05,,21.77%,1.00,4.27,19.96%,7.55%,12.41%,,,,
1920.06,7.92,0.52,0.87,20.90,1920.46,5.02,123.03,8.08,1 591.61,13.44,173.83,5.04,,6.86,,22.57%,1.00,4.23,19.12%,7.76%,11.36%,,,,
1920.07,7.91,0.52,0.85,20.80,1920.54,5.03,123.47,8.09,1 605.96,13.33,173.43,5.08,,6.93,,22.36%,1.00,4.26,18.94%,7.82%,11.12%,,,,
1920.08,7.60,0.52,0.84,20.30,1920.62,5.04,121.55,8.26,1 589.99,13.49,176.43,5.02,,6.86,,22.43%,1.00,4.38,19.03%,7.61%,11.41%,,,,
1920.09,7.87,0.52,0.83,20.00,1920.71,5.05,127.76,8.36,1 680.28,13.51,177.74,5.30,,7.25,,21.33%,1.00,4.46,18.34%,7.38%,10.96%,,,,
1920.1,7.88,0.51,0.82,19.90,1920.79,5.06,128.56,8.37,1 700.05,13.41,177.28,5.35,,7.33,,21.39%,1.00,4.50,16.59%,7.38%,9.21%,,,,
1920.11,7.48,0.51,0.81,19.80,1920.87,5.07,122.65,8.39,1 631.15,13.30,176.81,5.13,,7.04,,22.37%,1.00,4.54,16.32%,7.38%,8.94%,,,,
1920.12,6.81,0.51,0.80,19.40,1920.96,5.08,113.97,8.54,1 525.12,13.39,179.16,4.78,,6.58,,23.53%,1.00,4.65,16.57%,7.35%,9.23%,,,,
1921.01,7.11,0.51,0.76,19.00,1921.04,5.09,121.50,8.64,1 635.47,12.94,174.24,5.12,,7.06,,21.92%,1.01,4.76,16.31%,7.25%,9.06%,,,,
1921.02,7.06,0.50,0.72,18.40,1921.12,5.02,124.58,8.85,1 686.85,12.62,170.84,5.27,,7.29,,21.41%,1.01,4.96,17.01%,6.94%,10.07%,,,,
1921.03,6.88,0.50,0.67,18.30,1921.21,4.96,122.06,8.83,1 662.79,11.93,162.53,5.19,,7.19,,21.61%,1.01,5.04,17.53%,6.86%,10.67%,,,,
1921.04,6.91,0.49,0.63,18.10,1921.29,4.89,123.95,8.85,1 698.54,11.30,154.86,5.30,,7.35,,21.52%,1.01,5.14,16.24%,6.72%,9.53%,,,,
1921.05,7.12,0.49,0.59,17.70,1921.37,4.83,130.60,8.97,1 799.96,10.78,148.52,5.61,,7.80,,20.30%,1.01,5.31,14.61%,6.52%,8.09%,,,,
1921.06,6.55,0.49,0.55,17.60,1921.46,4.76,120.83,8.95,1 675.54,10.05,139.42,5.22,,7.27,,21.64%,1.01,5.39,15.27%,6.51%,8.76%,,,,
1921.07,6.53,0.48,0.50,17.70,1921.54,4.70,119.78,8.82,1 671.18,9.22,128.60,5.20,,7.26,,21.72%,1.01,5.40,15.74%,6.48%,9.26%,,,,
1921.08,6.45,0.48,0.46,17.70,1921.62,4.63,118.31,8.74,1 660.87,8.44,118.45,5.16,,7.23,,21.59%,1.01,5.45,15.52%,6.39%,9.13%,,,,
1921.09,6.61,0.47,0.42,17.50,1921.71,4.56,122.63,8.77,1 731.78,7.75,109.38,5.38,,7.55,,20.64%,1.01,5.57,13.34%,6.25%,7.09%,,,,
1921.1,6.70,0.47,0.38,17.50,1921.79,4.50,124.30,8.69,1 765.59,6.96,98.82,5.48,,7.71,,20.36%,1.01,5.62,11.66%,6.23%,5.43%,,,,
1921.11,7.06,0.46,0.33,17.40,1921.87,4.43,131.73,8.66,1 881.40,6.20,88.61,5.84,,8.24,,19.35%,1.01,5.70,11.33%,6.22%,5.11%,,,,
1921.12,7.31,0.46,0.29,17.30,1921.96,4.37,137.19,8.63,1 969.55,5.44,78.14,6.11,,8.65,,18.70%,1.01,5.78,8.71%,6.15%,2.56%,,,,
1922.01,7.30,0.46,0.32,16.90,1922.04,4.30,140.24,8.92,2 024.08,6.21,89.64,6.29,,8.92,,17.95%,1.00,5.97,8.54%,6.03%,2.51%,,,,
1922.02,7.46,0.47,0.36,16.90,1922.12,4.31,143.32,9.00,2 079.27,6.85,99.42,6.46,,9.19,,17.41%,1.00,5.99,8.39%,6.21%,2.18%,,,,
1922.03,7.74,0.47,0.39,16.70,1922.21,4.31,150.48,9.19,2 194.25,7.58,110.56,6.82,,9.72,,16.24%,1.00,6.08,8.01%,6.18%,1.82%,,,,
1922.04,8.21,0.48,0.42,16.70,1922.29,4.32,159.61,9.27,2 338.75,8.23,120.58,7.27,,10.38,,15.01%,1.00,6.10,4.59%,6.28%,-1.69%,,,,
1922.05,8.53,0.48,0.46,16.70,1922.37,4.32,165.84,9.35,2 441.32,8.88,130.71,7.59,,10.85,,14.43%,1.00,6.12,3.05%,6.46%,-3.42%,,,,
1922.06,8.45,0.49,0.49,16.70,1922.46,4.33,164.28,9.43,2 430.00,9.53,140.91,7.56,,10.82,,14.59%,1.00,6.14,1.81%,6.57%,-4.76%,,,,
1922.07,8.51,0.49,0.52,16.80,1922.54,4.33,164.46,9.45,2 444.34,10.11,150.31,7.60,,10.89,,14.57%,1.00,6.13,2.36%,6.65%,-4.30%,,,,
1922.08,8.83,0.49,0.56,16.60,1922.62,4.34,172.70,9.65,2 578.76,10.89,162.58,8.02,,11.50,,13.65%,1.00,6.22,6.19%,6.63%,-0.44%,,,,
1922.09,9.06,0.50,0.59,16.60,1922.71,4.34,177.20,9.73,2 658.04,11.54,173.10,8.27,,11.86,,13.17%,1.00,6.24,7.00%,6.73%,0.27%,,,,
1922.1,9.26,0.50,0.62,16.70,1922.79,4.35,180.03,9.75,2 712.64,12.12,182.59,8.43,,12.11,,12.99%,1.00,6.22,5.35%,6.90%,-1.55%,,,,
1922.11,8.80,0.51,0.66,16.80,1922.87,4.35,170.07,9.77,2 574.81,12.69,192.15,8.00,,11.49,,13.69%,1.00,6.20,5.95%,7.07%,-1.12%,,,,
1922.12,8.78,0.51,0.69,16.90,1922.96,4.36,168.68,9.80,2 566.12,13.26,201.67,7.96,,11.45,,13.90%,1.00,6.19,5.78%,7.24%,-1.46%,,,,
1923.01,8.90,0.51,0.71,16.80,1923.04,4.36,172.00,9.89,2 629.21,13.80,210.99,8.15,,11.73,,13.44%,1.01,6.24,6.15%,7.36%,-1.21%,,,,
1923.02,9.28,0.51,0.74,16.80,1923.12,4.34,179.34,9.92,2 754.11,14.27,219.11,8.53,,12.27,,12.92%,1.01,6.28,4.57%,7.51%,-2.94%,,,,
1923.03,9.43,0.52,0.76,16.80,1923.21,4.31,182.24,9.95,2 811.36,14.74,227.32,8.70,,12.51,,12.72%,1.01,6.32,4.47%,7.58%,-3.11%,,,,
1923.04,9.10,0.52,0.79,16.90,1923.29,4.29,174.82,9.93,2 709.69,15.11,234.25,8.37,,12.04,,13.26%,1.01,6.31,5.98%,7.63%,-1.65%,,,,
1923.05,8.67,0.52,0.81,16.90,1923.37,4.26,166.56,9.96,2 594.51,15.58,242.63,8.00,,11.51,,13.95%,1.01,6.35,9.21%,7.61%,1.60%,,,,
1923.06,8.34,0.52,0.84,17.00,1923.46,4.24,159.28,9.93,2 493.97,15.95,249.70,7.67,,11.04,,14.46%,1.01,6.35,11.35%,7.57%,3.77%,,,,
1923.07,8.06,0.52,0.86,17.20,1923.54,4.21,152.14,9.85,2 395.06,16.22,255.31,7.35,,10.57,,15.08%,1.01,6.31,12.36%,7.35%,5.01%,,,,
1923.08,8.10,0.52,0.88,17.10,1923.62,4.19,153.79,9.94,2 434.06,16.77,265.43,7.44,,10.72,,14.87%,1.01,6.38,11.56%,7.19%,4.37%,,,,
1923.09,8.15,0.53,0.91,17.20,1923.71,4.16,153.84,9.91,2 447.91,17.13,272.57,7.46,,10.75,,14.82%,1.01,6.38,11.44%,7.24%,4.21%,,,,
1923.1,8.03,0.53,0.93,17.30,1923.79,4.14,150.70,9.88,2 411.04,17.49,279.75,7.32,,10.55,,15.17%,1.01,6.37,10.52%,7.28%,3.24%,,,,
1923.11,8.27,0.53,0.96,17.30,1923.87,4.11,155.20,9.91,2 496.31,17.94,288.51,7.55,,10.88,,14.67%,1.01,6.41,10.44%,7.27%,3.17%,,,,
1923.12,8.55,0.53,0.98,17.30,1923.96,4.09,160.46,9.95,2 594.17,18.39,297.34,7.81,,11.26,,14.35%,1.01,6.44,10.27%,7.25%,3.02%,,,,
1924.01,8.83,0.53,0.98,17.30,1924.04,4.06,165.71,9.98,2 692.56,18.31,297.55,8.07,,11.63,,13.96%,1.00,6.48,10.51%,7.24%,3.27%,,,,
1924.02,8.87,0.53,0.97,17.20,1924.12,4.04,167.43,10.07,2 734.12,18.34,299.52,8.16,,11.76,,13.89%,1.00,6.55,11.08%,7.09%,3.99%,,,,
1924.03,8.70,0.54,0.97,17.10,1924.21,4.03,165.18,10.16,2 711.22,18.37,301.51,8.06,,11.61,,14.00%,1.00,6.62,10.63%,7.03%,3.60%,,,,
1924.04,8.50,0.54,0.96,17.00,1924.29,4.01,162.34,10.25,2 678.50,18.40,303.55,7.92,,11.42,,14.27%,1.00,6.69,10.99%,6.97%,4.01%,,,,
